"variable"	"raw.sample.size"	"n.languages"	"n.levels"	"source"	"set.fisher.p"	"set.CP.significant.residuals"	"set.Other.significant.residuals"	"mcmc.fisher.p"	"mcmc.CP.significant.residuals"	"mcmc.Other.significant.residuals"	"ml.fisher.p"	"ml.CP.significant.residuals"	"ml.Other.significant.residuals"	"problems"
"autotyp.np_structure$Construct_Def"	422	335	5	"AUTOTYP"	0.86968403598799	""	""	0.88782225232083	""	""	0.960515098487919	""	""	NA
"autotyp.np_structure$marking_Def"	395	339	2	"AUTOTYP"	1	""	""	0.706331045003814	""	""	1	""	""	NA
"autotyp.np_structure$Govern_Def"	516	350	4	"AUTOTYP"	0.811936137194566	""	""	0.657327461877197	""	""	0.311455108359127	""	"+mixed"	NA
"autotyp.np_structure$WordOrderType"	386	315	5	"AUTOTYP"	0.720474689766141	""	""	0.978044945081707	""	""	0.943989245880229	""	""	NA
"autotyp.np_structure$extension"	646	484	7	"AUTOTYP"	0.133444008180674	""	""	NA	NA	NA	NA	NA	NA	"Oceanic sbranch:Unable to parse BayesTraits results; West Caucasian stock:Unable to parse BayesTraits results"
"autotyp.np_structure$semantic_restriction"	338	260	2	"AUTOTYP"	0.51602930630836	""	""	0.51602930630836	""	""	0.51602930630836	""	""	NA
"autotyp.number$Dual"	476	476	4	"AUTOTYP"	0.0511911809585639	""	""	0.000180540094896554	""	"+dual +dual attested (agreement)"	0.000180540094896554	""	"+dual +dual attested (agreement)"	NA
"autotyp.synthesis$INCORP.N"	314	314	2	"AUTOTYP"	0.0798537292523715	""	"-TRUE"	0.0798537292523715	""	"-TRUE"	0.0671585594814063	""	"-TRUE"	NA
"autotyp.synthesis$infl.exponence.type"	255	255	3	"AUTOTYP"	0.999999999999998	""	""	0.999999999999998	""	""	0.999999999999998	""	""	NA
"autotyp.synthesis$ANY.AGREEMENT"	281	281	2	"AUTOTYP"	0.0204375409028302	""	"+no verb agreement"	0.0296604658505487	""	"+no verb agreement"	0.0307906966309686	""	"+no verb agreement"	NA
"autotyp.synthesis$multiple.agreement"	281	281	2	"AUTOTYP"	0.0626994854567975	""	"+single or no agreement"	0.0626994854567975	""	"+single or no agreement"	0.119377116808904	""	""	NA
"autotyp.synthesis$fpwCat"	255	255	3	"AUTOTYP"	0.141220689966258	""	""	0.286524830470479	""	""	0.348063541858022	""	""	NA
"autotyp.synthesis$synCat"	255	255	3	"AUTOTYP"	0.0854227451460763	""	""	0.100589934522755	""	""	0.174465391569092	""	""	NA
"autotyp.wals$MADCON"	561	561	5	"WALS"	0.249519004819643	""	""	0.915692179673874	""	""	1	""	""	NA
"autotyp.wals$MADVOW"	562	562	3	"WALS"	0.0227898037397377	""	"+3"	0.0197908112656958	""	"+3"	0.0999060788440257	""	"+3"	NA
"autotyp.wals$MADCVR"	562	562	5	"WALS"	0.573894816846956	""	""	0.896012243358592	""	""	0.999999999999999	""	""	NA
"autotyp.wals$MADVOI2"	565	565	2	"WALS"	3.66782393391157e-06	"-voicing+no voicing"	"+voicing-no voicing"	3.66782393391157e-06	"-voicing+no voicing"	"+voicing-no voicing"	5.05503283078261e-05	"-voicing+no voicing"	"+voicing-no voicing"	NA
"autotyp.wals$MADUVU"	565	565	4	"WALS"	0.752320554397493	""	""	0.647195458620139	""	""	0.807518945437168	""	""	NA
"autotyp.wals$MADLAT2"	565	565	2	"WALS"	0.000220078552775162	"+no laterals"	"-no laterals"	0.000121706629621384	"+no laterals"	"-no laterals"	0.000206765963346002	"+no laterals"	"-no laterals"	NA
"autotyp.wals$ANDANG"	467	467	3	"WALS"	0.0127837516905139	""	"-No velar nasal"	0.152520963785994	""	""	0.194283538216971	""	""	NA
"autotyp.wals$MADFRV"	560	560	4	"WALS"	0.644688587833378	""	""	0.421608855287914	""	""	0.688857906355294	""	""	NA
"autotyp.wals$MADSYL"	484	484	3	"WALS"	0.498696486845997	""	""	0.588813171502739	""	""	1	""	""	NA
"autotyp.wals$MADTON"	525	525	3	"WALS"	0.0247808059703282	""	""	0.00636534329536558	"-Complex tone system"	"+Complex tone system"	0.0385711409507586	""	"+Complex tone system"	NA
"autotyp.wals$GOEFIX"	499	499	7	"WALS"	0.974059082900639	""	""	NA	NA	NA	NA	NA	NA	"Pama-Nyungan stock:Unable to parse BayesTraits results"
"autotyp.wals$GOERHY"	322	322	5	"WALS"	0.655093733891464	""	""	0.688814797173925	""	""	0.689199689199692	""	""	NA
"autotyp.wals$MADPRS"	565	565	7	"WALS"	0.000638763537410672	""	"+Labial-velars"	2.15578800603435e-05	""	"+Pharyngeals+Labial-velars+Clicks "	0.0019482098653197	""	"+Clicks "	NA
"autotyp.wals$DRYPRE"	892	892	6	"WALS"	0.453073100923817	""	""	NA	NA	NA	NA	NA	NA	"Adamawa-Ubangi stock:Unable to parse BayesTraits results; Western WMP pseudo-group ssbranch:Unable to parse BayesTraits results; Eastern Central Sudanic stock:Unable to parse BayesTraits results; Kwa stock:Unable to parse BayesTraits results; Nilotic stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results; Yuman stock:Unable to parse BayesTraits results"
"autotyp.wals$RUBRED2"	366	366	2	"WALS"	0.206930020630311	""	""	0.206930020630311	""	""	0.291934731073862	""	""	NA
"autotyp.wals$CORSEX"	256	256	3	"WALS"	0.0820218140492495	""	""	0.137779229368129	""	""	0.366703554387875	""	""	NA
"autotyp.wals$CORASS"	256	256	3	"WALS"	0.0145047512960011	""	"+Semantic and formal assignment"	0.0167846193999273	""	"+Semantic and formal assignment"	0.0982190905328912	""	"+Semantic and formal assignment"	NA
"autotyp.wals$HASNPL"	290	290	6	"WALS"	0.0458273024915509	""	"+Plural in all nouns, always obligatory"	NA	NA	NA	NA	NA	NA	"Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.wals$DANPLU"	259	259	8	"WALS"	0.902050715112099	""	""	0.846842148790974	""	""	0.971414455110106	""	""	NA
"autotyp.wals$DRYDEF2"	566	566	2	"WALS"	0.404330407061853	""	""	0.354298124716535	""	""	0.329980270793735	""	""	NA
"autotyp.wals$DRYIND"	473	473	5	"WALS"	0.929857233100505	""	""	1	""	""	0.657142857142858	""	""	NA
"autotyp.wals$SIEGEN2"	377	377	2	"WALS"	0.2517221489755	""	""	0.2517221489755	""	""	0.770635378706684	""	""	NA
"autotyp.wals$HASIND"	326	326	5	"WALS"	0.121666374996448	""	"+Generic-noun-based indefinites"	0.0783450958975054	""	""	0.0358374429447246	"-Generic-noun-based indefinites"	"+Generic-noun-based indefinites"	NA
"autotyp.wals$BAKADP2"	377	377	2	"WALS"	0.000227203624872077	"+no adpositions"	"-no adpositions"	0.000246296361473314	"+no adpositions"	"-no adpositions"	0.000940474181114955	"+no adpositions"	"-no adpositions"	NA
"autotyp.wals$IGGNUM"	260	260	9	"WALS"	0.672534403149818	""	""	NA	NA	NA	NA	NA	NA	"Indo-European stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.wals$STOCIS"	319	319	3	"WALS"	0.280604738825989	""	""	0.397313329874961	""	""	0.546144211941637	""	""	NA
"autotyp.wals$STOORD"	320	320	8	"WALS"	0.415743568058081	""	""	0.727865068413217	""	""	0.925696594427232	""	""	NA
"autotyp.wals$GILCLF"	399	399	3	"WALS"	0.999999999999955	""	""	0.817511421338968	""	""	0.892378213502469	""	""	NA
"autotyp.wals$DRYPOS"	794	794	4	"WALS"	3.5929683486476e-05	""	"-Possessive prefixes+Possessive suffixes"	0.000932327948537414	"+Possessive prefixes"	"-Possessive prefixes+Possessive suffixes"	0.00687028903462352	""	"-Possessive prefixes"	NA
"autotyp.wals$HASCON"	301	301	3	"WALS"	0.0985366753931769	""	"-Nominal and verbal conjunction are primarily expressed by juxtaposition"	0.466420783416337	""	""	0.692787723785166	""	""	NA
"autotyp.wals$DRYTAA"	1059	1059	5	"WALS"	0.395354241636561	""	""	0.488820595804281	""	""	0.0475716929661796	""	""	NA
"autotyp.wals$AUWIMP"	547	547	5	"WALS"	0.976418656461859	""	""	0.423468135191338	""	""	0.644943054644117	""	""	NA
"autotyp.wals$AUWPRH"	495	495	4	"WALS"	1	""	""	0.820189005041371	""	""	1	""	""	NA
"autotyp.wals$AUWHOR"	375	375	4	"WALS"	0.712601370514014	""	""	0.0111724323596714	""	""	0.325980392156861	""	""	NA
"autotyp.wals$DOBOPT"	319	319	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$HAAEVD"	416	416	3	"WALS"	0.025882817998218	""	""	0.068614647828664	""	""	0.101738609022906	""	""	NA
"autotyp.wals$HAAEVC"	416	416	6	"WALS"	0.446635698931774	""	""	0.734559699622335	""	""	0.147755417956654	""	""	NA
"autotyp.wals$DRYSBV"	1341	1341	3	"WALS"	0.420532263055511	""	""	0.932328003497071	""	""	0.323264849268037	""	""	NA
"autotyp.wals$DRYOBV"	1367	1367	3	"WALS"	0.0105820796117959	""	"+Object follows verb (VO)"	0.0105783227333942	""	"-Both orders with neither order dominant+Object follows verb (VO)"	0.0357010637635656	""	""	NA
"autotyp.wals$DRYXOV"	448	448	6	"WALS"	0.00805600891772575	""	"+Verb-object-oblique (VOX)"	0.0737353490250746	""	""	0.127045795541739	""	""	NA
"autotyp.wals$DRYADP"	1071	1071	5	"WALS"	0.214292540954834	""	""	0.357879384633892	""	""	0.638355066738064	""	""	NA
"autotyp.wals$DRYGEN"	1102	1102	3	"WALS"	0.00012853642086158	"-Noun-genitive (NGen)"	"+Noun-genitive (NGen)"	0.00417691580303091	""	"+Noun-genitive (NGen)"	0.00138354699917846	"-Noun-genitive (NGen)"	"+Noun-genitive (NGen)"	NA
"autotyp.wals$DRYADJ"	1212	1212	4	"WALS"	0.499079203631578	""	""	0.94919333541383	""	""	1	""	""	NA
"autotyp.wals$DRYDEM"	1084	1084	6	"WALS"	0.00268303728105441	"+Demonstrative word precedes noun (DemN)"	"-Demonstrative word precedes noun (DemN)+Demonstrative word follows noun (NDem)"	0.16253655244863	""	""	0.0873224270452497	""	""	NA
"autotyp.wals$DRYNUM"	999	999	4	"WALS"	0.681945126393427	""	""	0.935100365239753	""	""	0.501285207819517	""	""	NA
"autotyp.wals$DRYREL"	705	705	7	"WALS"	0.148388051085326	""	""	0.627109485872618	""	""	0.163872575963151	""	"-Mixed types of relative clause with none dominant"	NA
"autotyp.wals$DRYDEG"	436	436	3	"WALS"	0.945713146971511	""	""	0.48056431055758	""	""	0.832009691748545	""	""	NA
"autotyp.wals$DRYPQP"	775	775	6	"WALS"	0.833833297282281	""	""	NA	NA	NA	NA	NA	NA	"Oceanic sbranch:Unable to parse BayesTraits results; Mongolic stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYCOQ"	802	802	3	"WALS"	0.0368400452714247	""	""	0.0592116374505594	""	""	0.0422455268764188	""	""	NA
"autotyp.wals$DRYOSC"	609	609	5	"WALS"	0.20285696313894	""	""	0.868441900897684	""	""	0.733090667462191	""	""	NA
"autotyp.wals$SIEALI0"	296	296	5	"WALS"	0.208106203592266	""	""	0.569727674919989	""	""	0.410720465396324	""	""	NA
"autotyp.wals$DRYPRO"	674	674	6	"WALS"	0.0787243961051164	""	""	NA	NA	NA	NA	NA	NA	"Pama-Nyungan stock:Unable to parse BayesTraits results"
"autotyp.wals$SIEAPV"	378	378	5	"WALS"	0.241671981237608	""	""	0.543882749198148	""	""	0.36655234210852	""	""	NA
"autotyp.wals$SIEZER2"	379	379	2	"WALS"	0.436319633344698	""	""	0.441717537577809	""	""	0.385824408084295	""	""	NA
"autotyp.wals$SIEVPA"	377	377	5	"WALS"	0.379444162624262	""	""	0.971069590951022	""	""	0.70033444816054	""	""	NA
"autotyp.wals$HASDIT"	378	378	4	"WALS"	0.0874261243681796	""	""	0.0623401770547154	""	"+Indirect-object construction"	0.271252531628921	""	""	NA
"autotyp.wals$SIEPAS"	372	372	2	"WALS"	0.0318807534292355	""	"-There is no passive construction+There is a passive construction"	0.0890530317759018	""	"+There is a passive construction"	0.0275041104531928	""	"+There is a passive construction"	NA
"autotyp.wals$SONNON"	310	310	4	"WALS"	0.66155646411619	""	""	0.0288640859959281	""	""	0.887489299254001	""	""	NA
"autotyp.wals$DRYNEG"	1009	1009	6	"WALS"	0.68606143422652	""	""	NA	NA	NA	NA	NA	NA	"Gur stock:Unable to parse BayesTraits results; Sino-Tibetan stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYPOQ"	840	840	7	"WALS"	0.583824612995371	""	""	0.729441480229512	""	""	0.926299877356602	""	""	NA
"autotyp.wals$STAADJ"	386	386	3	"WALS"	0.754225329157963	""	""	0.812438286151946	""	""	0.776037156468838	""	""	NA
"autotyp.wals$STALOC"	386	386	2	"WALS"	0.809494620300563	""	""	0.809494620300563	""	""	1	""	""	NA
"autotyp.wals$STAZER"	386	386	2	"WALS"	0.151578352828672	""	""	0.151578352828672	""	""	0.223750932817924	""	""	NA
"autotyp.wals$HASWAN"	283	283	5	"WALS"	0.0380994886240054	""	""	0.0329969668671588	""	""	0.191739130434784	""	""	NA
"autotyp.wals$BROHAN"	614	614	2	"WALS"	0.584545639282481	""	""	0.579072609171008	""	""	0.24943835318437	""	""	NA
"autotyp.wals$BROFIN"	590	590	2	"WALS"	0.00921512767369844	""	"-Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'"	0.00921512767369844	""	"-Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'"	0.00476803893071877	"+Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'"	"-Identity: a single word denotes both 'hand' and 'finger' and/or 'fingers'"	NA
"autotyp.wals$CORNUM"	256	256	5	"WALS"	0.278098241014284	""	""	0.43644284958956	""	""	0.558752841980084	""	""	NA
"autotyp.wals$MADGLO"	565	565	8	"WALS"	0.0229175865002909	""	"+Implosives only"	0.0723376373387558	""	"+Implosives only"	0.031867337866881	""	"+Implosives only"	NA
"autotyp.wals$DRYNPL"	957	957	9	"WALS"	0.965137350933804	""	""	NA	NA	NA	NA	NA	NA	"Oceanic sbranch:Unable to parse BayesTraits results; Benue-Congo stock:Unable to parse BayesTraits results; Mayan stock:Unable to parse BayesTraits results; Na-Dene stock:Unable to parse BayesTraits results"
"autotyp.wals$DRYCAS3"	583	583	3	"WALS"	0.375061838222316	""	""	0.293092414967428	""	""	0.270475563818836	""	""	NA
"autotyp.wals$MADVOI"	565	565	4	"WALS"	3.21935464947783e-06	"-Voicing contrast in both plosives and fricatives+No voicing contrast"	"+Voicing contrast in both plosives and fricatives-No voicing contrast"	0.009885677979512	"+No voicing contrast"	"-No voicing contrast"	0.0128119865250351	""	"+Voicing contrast in both plosives and fricatives-No voicing contrast"	NA
"autotyp.wals$MADUVU2"	565	565	2	"WALS"	0.81764692595679	""	""	0.81764692595679	""	""	1	""	""	NA
"autotyp.wals$MADLAT"	565	565	5	"WALS"	0.000172373454038592	"-/l/, no obstruent laterals+1.No laterals"	"+/l/, no obstruent laterals-1.No laterals"	0.0226892207929046	"+1.No laterals"	"-1.No laterals"	0.00405336198732829	"+1.No laterals"	"-1.No laterals"	NA
"autotyp.wals$ANDANG2"	467	467	2	"WALS"	0.00268887325739695	"-ŋ present+ŋ absent"	"+ŋ present-ŋ absent"	0.00202668081000032	"-ŋ present+ŋ absent"	"+ŋ present-ŋ absent"	0.00376938537579816	"-ŋ present"	"+ŋ present-ŋ absent"	NA
"autotyp.wals$MADFRV2"	560	560	2	"WALS"	0.747156871256458	""	""	1	""	""	1	""	""	NA
"autotyp.wals$MADTON02"	525	525	2	"WALS"	0.000789765549916969	"+atonal-tonal"	"-atonal+tonal"	0.000674641663072762	"+atonal-tonal"	"-atonal+tonal"	0.00293195544786112	"+atonal-tonal"	"-atonal+tonal"	NA
"autotyp.wals$GOEFIX2"	499	499	2	"WALS"	0.503793997696437	""	""	0.733717618847438	""	""	1	""	""	NA
"autotyp.wals$GOERHY2"	322	322	2	"WALS"	0.240084145243215	""	""	0.0599211253107075	""	"+no rhythmic stress"	0.274006960363343	""	""	NA
"autotyp.wals$RUBRED"	366	366	3	"WALS"	0.800464592195919	""	""	0.626629358677993	""	""	0.494391337427489	""	""	NA
"autotyp.wals$CORASS02"	256	256	2	"WALS"	0.11782660228663	""	""	0.11782660228663	""	""	0.298723521803969	""	""	NA
"autotyp.wals$HASNPL21"	290	290	2	"WALS"	0.0866070754485219	"+no plural"	"-no plural"	0.0866070754485219	"+no plural"	"-no plural"	0.223445815005075	""	""	NA
"autotyp.wals$HASNPL22"	290	290	2	"WALS"	0.00493419991859633	"-plural obligatory, at least in animates+plural absent or optional"	"+plural obligatory, at least in animates-plural absent or optional"	0.00493419991859633	"-plural obligatory, at least in animates+plural absent or optional"	"+plural obligatory, at least in animates-plural absent or optional"	0.0188930268702417	"+plural absent or optional"	"-plural absent or optional"	NA
"autotyp.wals$DANPLU02"	259	259	2	"WALS"	0.544509329155391	""	""	NA	NA	NA	NA	NA	NA	"NA/NaN argument"
"autotyp.wals$DANPLU04"	250	250	3	"WALS"	0.278822286509749	""	""	0.278822286509749	""	""	0.324725141349653	""	""	NA
"autotyp.wals$DANPLU05"	250	250	3	"WALS"	0.779348239135107	""	""	0.755560283825286	""	""	1	""	""	NA
"autotyp.wals$SIEGEN"	377	377	6	"WALS"	0.0331930748730484	""	""	0.0214238699931093	""	""	0.675058971756099	""	""	NA
"autotyp.wals$BAKADP"	377	377	4	"WALS"	0.0161893525914525	"+No adpositions"	"-No adpositions"	0.0137695633178226	"+No adpositions"	"-No adpositions"	0.433188668823488	""	""	NA
"autotyp.wals$BAKADP02"	314	314	3	"WALS"	0.607881732042315	""	""	0.0475180654274271	"+adpositions with person marking for pronouns and nouns"	""	0.709805767091659	""	""	NA
"autotyp.wals$GILCLF22"	399	399	2	"WALS"	1	""	""	1	""	""	0.706280912519676	""	""	NA
"autotyp.wals$DRYPOS2"	794	794	2	"WALS"	0.117005730808688	""	""	0.115144881291712	""	""	0.403780609589842	""	""	NA
"autotyp.wals$AUWPRH22"	495	495	2	"WALS"	1	""	""	1	""	""	1	""	""	NA
"autotyp.wals$VP"	1276	1276	2	"WALS"	0.0101049772025216	""	"-OV+VO"	0.00769481165494516	""	"-OV+VO"	0.033461805769164	""	"+VO"	NA
"autotyp.wals$PP"	985	985	2	"WALS"	0.0445920031248016	""	"+Pnp"	0.0494740099981622	""	"+Pnp"	0.126439346980456	""	""	NA
